# File di test: segnale discreto
# Formato: Timestamp[ns],Intesita
@CALIBRAZIONE 0, 512, 1023
1000000000,512
1100000000,512
1200000000,512
1300000000,512
1400000000,512
1500000000,512
1600000000,512
1700000000,512
1800000000,512
1900000000,512
2000000000,512
2100000000,512
2200000000,512
2300000000,512
2400000000,512
2500000000,512
2600000000,512
2700000000,512
2800000000,512
2900000000,512
3000000000,1023
3100000000,1023
3200000000,1023
3300000000,1023
3400000000,1023
3500000000,1023
3600000000,1023
3700000000,1023
3800000000,1023
3900000000,1023
4000000000,1023
4100000000,1023
4200000000,1023
4300000000,1023
4400000000,1023
4500000000,1023
4600000000,512
4700000000,512
4800000000,512
4900000000,512
5000000000,512
5100000000,512
5200000000,512
5300000000,512
5400000000,512
5500000000,512
5600000000,512
5700000000,512
5800000000,512
5900000000,512
6000000000,512
