# File di test: segnale continuo
# Calibrazione: xTL; yTL; xTR; yTR; xBR; yBR; xBL; yBL
@CALIBRAZIONE, 1.0,1.0, 0.0,1.0, 0.0,0.0, 1.0,0.0
# Formato: X(float) , Y(float) , Timestamp(ns)
1.00,1.00,1000000000
0.97,0.97,1100000000
0.95,0.95,1200000000
0.93,0.93,1300000000
0.90,0.90,1400000000
0.88,0.88,1500000000
0.85,0.85,1600000000
0.82,0.82,1700000000
0.80,0.80,1800000000
0.78,0.78,1900000000
0.75,0.75,2000000000
0.72,0.72,2100000000
0.70,0.70,2200000000
0.68,0.68,2300000000
0.65,0.65,2400000000
0.62,0.62,2500000000
0.60,0.60,2600000000
0.57,0.57,2700000000
0.55,0.55,2800000000
0.53,0.53,2900000000
0.50,0.50,3000000000
